PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SEASONS,FG_PCT,FG3_PCT,FT_PCT
2544,1409,1408,53707,14040,27809,2233,6488,8039,10939,1652,8924,10576,10351,2176,1065,4922,2585,38352,20,0.51,0.34,0.73
2617,878,501,21699,2660,5445,6,64,1236,1636,1615,4173,5788,733,424,251,809,2066,6562,20,0.46,0.05,0.69
2738,1226,784,39438,5024,10859,1081,3271,2829,3991,1116,4921,6037,5133,1762,631,2236,2174,13958,19,0.47,0.34,0.63
101108,1189,1189,40977,7559,16004,1602,4336,4684,5382,727,4627,5354,11271,2499,186,2843,2880,21404,18,0.47,0.37,0.87
200752,1015,692,31274,5976,13245,1086,3116,2730,3441,1311,4409,5720,1995,1103,738,1971,2285,15768,17,0.44,0.34,0.8
200768,1018,810,33007,4907,11576,2044,5550,3416,4191,829,3725,4554,6523,1351,307,2427,2842,15274,17,0.42,0.35,0.82
200782,749,612,21783,1903,4474,780,2134,651,871,1128,3058,4186,1101,817,236,737,1856,5237,12,0.43,0.33,0.74
201142,978,975,35912,9126,18311,1841,4800,6591,7439,673,6235,6908,4239,1053,1095,3100,1893,26684,15,0.5,0.38,0.89
201143,992,982,31888,5571,10853,694,1894,1540,2029,1985,6045,8030,3255,784,1166,1463,2202,13376,16,0.51,0.35,0.76
201144,1000,963,31863,5191,11849,1565,4108,2725,3326,473,2505,2978,5726,1407,207,1972,1985,14672,16,0.43,0.37,0.81
201145,955,556,27037,4226,9399,945,2763,2288,2846,824,3197,4021,1450,633,482,1340,2017,11685,15,0.45,0.33,0.8
201152,1053,672,30369,5705,11273,483,1470,1307,1966,2126,4000,6126,1886,1465,425,1519,2265,13200,16,0.51,0.28,0.65
201565,682,504,21345,4787,10497,569,1798,2082,2507,536,1714,2250,3666,525,236,1687,852,12225,14,0.44,0.3,0.86
201566,1072,1007,36888,8616,19715,1201,3952,5665,7270,1749,6109,7858,8994,1750,335,4366,2806,24098,15,0.44,0.3,0.77
201567,853,662,25911,4821,10971,1536,4130,3474,4187,2118,6828,8946,1995,535,349,1594,1691,14652,15,0.43,0.35,0.83
201568,714,551,21347,3400,7945,1406,3678,2915,3312,490,2944,3434,1392,524,253,860,1278,11121,13,0.43,0.38,0.89
